N,base_bits,vector_idx,karat_time_s,direct_time_s,correct
128,8,1,0.074466375,0.000033458,1
128,8,2,0.058829292,0.000019542,1
128,8,3,0.055490208,0.000023667,1
128,8,4,0.054764583,0.000019000,1
128,8,5,0.054739708,0.000021250,1
128,8,6,0.052150583,0.000019542,1
128,8,7,0.053127875,0.000019458,1
128,8,8,0.055817250,0.000019750,1
128,8,9,0.052904792,0.000019583,1
128,8,10,0.054885333,0.000020500,1
128,8,11,0.056003708,0.000020708,1
128,8,12,0.051566167,0.000019542,1
128,8,13,0.051391042,0.000022292,1
128,8,14,0.050560417,0.000021417,1
128,8,15,0.050108750,0.000018958,1
128,8,16,0.048519208,0.000019542,1
128,8,17,0.052398000,0.000021708,1
128,8,18,0.049444333,0.000019708,1
128,8,19,0.051073583,0.000018958,1
128,8,20,0.051714125,0.000018917,1
128,16,1,0.017545458,0.000020458,1
128,16,2,0.016915083,0.000020167,1
128,16,3,0.016588292,0.000019375,1
128,16,4,0.016642583,0.000020250,1
128,16,5,0.016897167,0.000018917,1
128,16,6,0.016928833,0.000018833,1
128,16,7,0.017296792,0.000020292,1
128,16,8,0.017509792,0.000019042,1
128,16,9,0.016306333,0.000019125,1
128,16,10,0.016731500,0.000019042,1
128,16,11,0.016740000,0.000020417,1
128,16,12,0.016651708,0.000018917,1
128,16,13,0.016501167,0.000020250,1
128,16,14,0.016460292,0.000019333,1
128,16,15,0.017561042,0.000020042,1
128,16,16,0.016685750,0.000019833,1
128,16,17,0.020288583,0.000020208,1
128,16,18,0.017501792,0.000019792,1
128,16,19,0.017249833,0.000019000,1
128,16,20,0.016848083,0.000020917,1
128,32,1,0.005788083,0.000024542,1
128,32,2,0.005345375,0.000020417,1
128,32,3,0.005681083,0.000023042,1
128,32,4,0.005707708,0.000024458,1
128,32,5,0.005658208,0.000021042,1
128,32,6,0.005700750,0.000019500,1
128,32,7,0.005719042,0.000026125,1
128,32,8,0.006130208,0.000019542,1
128,32,9,0.005712917,0.000019583,1
128,32,10,0.005535750,0.000024792,1
128,32,11,0.005693792,0.000019833,1
128,32,12,0.005432583,0.000018125,1
128,32,13,0.005301083,0.000020042,1
128,32,14,0.005630500,0.000022667,1
128,32,15,0.005596167,0.000020417,1
128,32,16,0.005579042,0.000019000,1
128,32,17,0.005424125,0.000018125,1
128,32,18,0.005531958,0.000018875,1
128,32,19,0.005458625,0.000021750,1
128,32,20,0.005613458,0.000022542,1
256,8,1,0.150415333,0.000019292,1
256,8,2,0.149163750,0.000022417,1
256,8,3,0.150410250,0.000018542,1
256,8,4,0.142512250,0.000021625,1
256,8,5,0.145689458,0.000018917,1
256,8,6,0.141137542,0.000018125,1
256,8,7,0.143448958,0.000019167,1
256,8,8,0.147824500,0.000019167,1
